model,n_eval_pages,n_ok,coverage,mean_cer,mean_wer,mean_reading_order_f1,mean_math_symbol_f1,mean_token_recall,mean_token_precision,mean_token_f1,mean_char_lcs_recall,strict_accuracy_component,robust_accuracy_component,total_cost_usd,cost_per_eval_page_usd,strict_accuracy_per_dollar,robust_accuracy_per_dollar,cost_efficiency,strict_balanced_score,robust_balanced_score,prompt_tokens,completion_tokens
allenai/olmOCR-2-7B-1025,68,68,1.0,0.46821961519150374,0.4892750773489259,0.3251643915686331,0.6742656112191417,0.8145707712875044,0.6876000737390834,0.6865672891521303,0.8495794888900128,0.5104838275618363,0.665895065741323,0.0213648,0.00031418823529411765,23.893686229772165,31.16785861516714,0.1900855612970868,0.4143643476824114,0.523152214408052,195498,19842
PaddlePaddle/PaddleOCR-VL-0.9B,68,68,1.0,0.46343245899228974,0.47315184955354517,0.3751130720606698,0.7248296675512573,0.7678484058420224,0.6822756631722197,0.6591219955073699,0.792417308798619,0.540839607766523,0.6650521135631422,0.04202224,0.0006179741176470588,12.870318378233119,15.826193786031924,0.09664263494758966,0.40758051592084293,0.4945292699784764,197896,17896
deepseek-ai/DeepSeek-OCR,68,68,1.0,0.5862096698633411,0.6512230135779189,0.145227920075303,0.4684333523516966,0.6856917968218752,0.5022718566441831,0.5158988241109471,0.7235466000216505,0.3440571472464349,0.5057249173176314,0.00406114,5.9722647058823536e-05,84.71935152357094,124.52782157660936,1.0,0.5408400030725043,0.6540074421223419,59248,22837
