model,sample_id,course,page,status,has_reference,reference_origin,cer,wer,reading_order_f1,math_symbol_f1,token_recall,token_precision,token_f1,char_lcs_recall,cost_usd,equation,table,multi_column,diagram
allenai/olmOCR-2-7B-1025,comp321__3832701964__p0057,comp321,57,ok,True,gold,0.0015698587127158557,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00046805,True,False,False,False
allenai/olmOCR-2-7B-1025,comp321__3832701964__p0128,comp321,128,ok,True,gold,0.17381857686040195,0.16494845360824742,0.4444444444444444,0.9090909090909091,0.9819587628865979,0.8678815489749431,0.9214026602176542,0.9918522542096686,0.00042226,True,False,False,False
allenai/olmOCR-2-7B-1025,comp335__87fc1c60ae__p0141,comp335,141,ok,True,gold,0.05105105105105105,0.07272727272727272,0.36363636363636365,0.7499999999999999,0.990909090909091,0.9316239316239316,0.960352422907489,0.987987987987988,0.00027194,True,False,False,False
allenai/olmOCR-2-7B-1025,comp335__87fc1c60ae__p0157,comp335,157,ok,True,gold,0.241674595623216,0.2507836990595611,0.5384615384615384,0.8181818181818181,0.8620689655172413,0.9046052631578947,0.8828250401284109,0.9086584205518554,0.00030899,True,False,True,False
allenai/olmOCR-2-7B-1025,comp340__2b051e685d__p0109,comp340,109,ok,True,gold,0.3879340582251841,0.4485049833887043,0.12307692307692308,0.7826086956521738,0.7890365448504983,0.8652094717668488,0.8253692441355344,0.7088740792704314,0.00045898,True,True,True,False
allenai/olmOCR-2-7B-1025,comp340__2b051e685d__p0155,comp340,155,ok,True,gold,0.19541080680977055,0.2644295302013423,0.2777777777777778,0.7088607594936709,0.8456375838926175,0.8774373259052924,0.861244019138756,0.8552923760177646,0.00043941,True,False,False,False
allenai/olmOCR-2-7B-1025,comp344__ae0689a4e4__p0054,comp344,54,ok,True,gold,0.9388753056234719,0.8578199052132701,0.017699115044247787,0.11764705882352941,0.7582938388625592,0.4878048780487805,0.5936920222634509,0.7163814180929096,0.00014095,True,True,True,False
allenai/olmOCR-2-7B-1025,comp344__ae0689a4e4__p0066,comp344,66,ok,True,gold,0.039603960396039604,0.0,0.125,1.0,1.0,1.0,1.0,1.0,7.749e-05,True,False,False,False
allenai/olmOCR-2-7B-1025,comp354__1839bc7f78__p0038,comp354,38,ok,True,gold,0.27371273712737126,0.4107142857142857,0.10526315789473684,0.6666666666666666,0.7142857142857143,0.851063829787234,0.7766990291262136,0.7750677506775068,0.00027023,True,False,False,False
allenai/olmOCR-2-7B-1025,comp354__1839bc7f78__p0051,comp354,51,ok,True,gold,0.275,0.26666666666666666,0.06666666666666667,0.6666666666666666,0.7333333333333333,1.0,0.846153846153846,0.7694444444444445,0.00027726,True,False,True,False
allenai/olmOCR-2-7B-1025,comp358__52cc8b772f__p0008,comp358,8,ok,True,gold,0.21926024658447185,0.19968304278922344,0.13333333333333333,1.0,0.8003169572107766,0.9921414538310412,0.8859649122807017,0.7990669776741086,0.00038108,True,True,False,False
allenai/olmOCR-2-7B-1025,comp358__52cc8b772f__p0014,comp358,14,ok,True,gold,0.1409313725490196,0.1342155009451796,0.09836065573770492,0.9655172413793104,0.9905482041587902,0.8866328257191202,0.9357142857142857,0.9946895424836601,0.00038754,True,False,False,False
allenai/olmOCR-2-7B-1025,comp370__b11f90804e__p0721,comp370,721,ok,True,gold,1.0,1.0,0.18181818181818182,0.6666666666666666,0.9146341463414634,0.16375545851528384,0.27777777777777773,0.9601873536299765,0.00032941,True,True,True,False
allenai/olmOCR-2-7B-1025,comp370__b11f90804e__p0919,comp370,919,ok,True,gold,0.08712121212121213,0.09659090909090909,0.7422680412371134,0.8,0.9034090909090909,0.9968652037617555,0.9478390461997019,0.9177489177489178,0.00030091,True,False,True,False
allenai/olmOCR-2-7B-1025,comp401__331b0f02ab__p0035,comp401,35,ok,True,gold,0.04076086956521739,0.10526315789473684,0.15384615384615385,1.0,0.9824561403508771,0.9180327868852459,0.9491525423728813,0.9918478260869565,0.00027346,False,False,False,False
allenai/olmOCR-2-7B-1025,comp401__331b0f02ab__p0044,comp401,44,ok,True,gold,0.31805929919137466,0.2857142857142857,0.020833333333333332,1.0,0.7142857142857143,1.0,0.8333333333333333,0.7816711590296496,0.00031165,True,True,True,False
allenai/olmOCR-2-7B-1025,comp405__486a56abec__p0058,comp405,58,ok,True,gold,0.13026052104208416,0.18674698795180722,0.7272727272727273,0.0,0.9397590361445783,0.8387096774193549,0.8863636363636364,0.8977955911823647,0.00028068,True,False,True,False
allenai/olmOCR-2-7B-1025,comp405__486a56abec__p0103,comp405,103,ok,True,gold,0.5227963525835866,0.8260869565217391,0.3333333333333333,0.6666666666666666,0.8152173913043478,0.5474452554744526,0.6550218340611353,0.7507598784194529,0.00027441,True,False,False,False
allenai/olmOCR-2-7B-1025,comp417__a7be932118__p0202,comp417,202,ok,True,gold,1.0,1.0,0.23529411764705882,0.25,0.8769230769230769,0.13043478260869565,0.22709163346613548,0.93359375,0.00040193,True,False,False,False
allenai/olmOCR-2-7B-1025,comp417__a7be932118__p0340,comp417,340,ok,True,gold,1.0,1.0,0.045454545454545456,0.18181818181818182,0.845360824742268,0.20865139949109415,0.33469387755102037,0.7587131367292225,0.00037324,True,True,True,False
